PKEY;ESTADO;NIVELCONTROL;SUCURSAL;SERIE;CODOPERACION;FECHA;AGENTE;REFERENCIA;ENTIDAD;ENTIDAD_NOMBRE;FORMAPAGO;FORMAPAGO_DES;PERIODICIDAD;PERIODICIDAD_DES;TOTALBRUTO;TOTALDTO;TOTALBASE;TOTALIVA;TOTALNETO;CIF_DNI;DOCENTIDAD;FECHADOCENTIDAD;TRANSPORTISTA;TRANSPORTE_FECHA_ENTREGA_ESTIMADA;TRANSPORTE_FECHA_ENTREGA_EFECTIVA;DEPARTAMENTO;DEPARTAMENTO_DESCRIPCION;TOTALTRANSPORTE;ETIQUETA
368;6;6;1;A;80;01/06/2020 17:41:00;50;JUNIO;51;Julia;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;1720;0;1720;0;1720;09564215X;JUNIO;01/06/2020 0:00:00;0;;;0;;0;
369;6;6;1;A;81;19/06/2020 17:42:00;50;JUNIO;25223;Maria Roblades;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;1645;0;1645;0;1645;05642630V;JUNIO;01/06/2020 0:00:00;0;;;0;;0;
370;6;6;1;A;82;19/06/2020 17:43:00;50;JUNIO;111;Maira;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;1645;0;1645;0;1645;66666666Q;JUNIO;01/06/2020 0:00:00;0;;;0;;0;
371;6;6;1;A;83;04/06/2020 17:45:00;50;JUNIO;52;Fran;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;1645;0;1645;0;1645;09385652L;JUNIO;01/06/2020 0:00:00;0;;;0;;0;
372;6;6;1;A;84;04/06/2020 17:46:00;50;JUNIO;53;Manuel;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;1645;0;1645;0;1645;96968654X;JUNIO;01/06/2020 0:00:00;0;;;0;;0;
373;6;6;1;A;85;04/06/2020 17:47:00;50;JUNIO;50;Marta;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;2100;0;2100;0;2100;09546325Z;JUNIO;01/06/2020 0:00:00;0;;;0;;0;
375;6;6;1;A;86;04/06/2020 17:24:00;50;;25212;EDP ENERGIA, S.A.U.;3;DOMICILIACION LA CAIXA;1;A LA VISTA;150,35;0;150,35;31,57;181,92;A33543547;12000103;04/06/2020 0:00:00;0;;;0;;0;
376;6;6;1;A;87;03/06/2020 17:24:00;50;;25219;SerAgua;3;DOMICILIACION LA CAIXA;1;A LA VISTA;112;0;112;23,52;135,52;A03221325;1205;01/06/2020 0:00:00;0;;;0;;0;
377;6;6;1;A;88;04/06/2020 17:28:00;50;;25218;Martin Gomez [alquiler];3;DOMICILIACION LA CAIXA;1;A LA VISTA;1500;0;1500;315;1815;09656021T;2;04/06/2020 0:00:00;0;;;0;;0;
379;6;6;1;A;89;01/07/2020 18:57:00;50;JULIO;50;Marta;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;2100;0;2100;0;2100;09546325Z;JULIO;01/07/2020 0:00:00;0;;;0;;0;
381;3;4;1;A;8;02/06/2020 10:54:00;50;;25211;GerMater;3;DOMICILIACION LA CAIXA;2;30 DIAS;2845;0;2845;597,45;3442,45;B33666547;145554A;02/06/2020 0:00:00;0;;;0;;0;
382;6;6;1;A;90;01/06/2020 10:58:00;50;JUNIO;25228;Anton;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;1750;0;1750;0;1750;99888777F;JUNIO;01/06/2020 0:00:00;0;;;0;;0;
383;6;6;1;A;91;01/06/2020 11:00:00;50;JUNIO;25229;Javi;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;1750;0;1750;0;1750;65470254H;JUNIO;01/06/2020 0:00:00;0;;;0;;0;
384;3;4;1;a;9;15/06/2020 11:05:00;50;;101;Ferretería Real;1;CONTADO;2;30 DIAS;186,5;27,04;159,46;33,49;192,95;B33555214;123456887;15/06/2020 0:00:00;0;;;0;;0;
385;6;6;1;A;92;14/06/2020 11:08:00;50;;25225;REPSOL;2;TARJETA LA CAIXA;1;A LA VISTA;80;0;80;16,8;96,8;A28235658;AR11254;14/06/2020 0:00:00;0;;;0;;0;
386;6;6;1;A;93;28/06/2020 11:11:00;50;;25225;REPSOL;2;TARJETA LA CAIXA;1;A LA VISTA;80;0;80;16,8;96,8;A28235658;AR1125455;28/06/2020 0:00:00;0;;;0;;0;
387;6;6;1;A;94;28/06/2020 11:12:00;50;;25216;informatica ovetense;3;DOMICILIACION LA CAIXA;0;FORMA DEFECTO;1978;0;1978;415,38;2393,38;B33555447;A2020000125;28/06/2020 0:00:00;0;;;0;;0;
388;6;6;1;A;95;28/06/2020 11:15:00;50;;25216;informatica ovetense;3;DOMICILIACION LA CAIXA;2;30 DIAS;237;0;237;49,789999999553;286,789999999553;B33555447;202000444;02/03/2020 0:00:00;0;;;0;;0;
391;6;6;1;A;97;15/06/2020 11:22:00;50;;25214;LA CAIXA;3;DOMICILIACION LA CAIXA;1;A LA VISTA;35;0;35;7,35;42,35;A08663619;333331266;15/06/2020 0:00:00;0;;;0;;0;
419;6;5;1;A;8;10/07/2020 16:44:00;50;;25211;GerMater;3;DOMICILIACION LA CAIXA;2;30 DIAS;2845;0;2845;597,45;3442,45;B33666547;145554Ab;10/07/2020 0:00:00;0;;;0;;0;
420;6;5;1;a;9;18/07/2020 16:44:00;50;;101;Ferretería Real;1;CONTADO;2;30 DIAS;186,5;27,04;159,46;33,49;192,95;B33555214;123456887a;18/07/2020 0:00:00;0;;;0;;0;
436;2;2;101;a;8;09/06/2020 11:10:00;50;;101;Ferretería Real;1;CONTADO;2;30 DIAS;6,4;0,93;5,47;1,15;6,9;B33555214;;01/01/1899 0:00:00;0;;;0;;0;
437;3;4;101;a;10;09/06/2020 11:15:00;25229;;101;Ferretería Real;1;CONTADO;2;30 DIAS;6,4;0,93;5,47;1,15;6,62;B33555214;;01/01/1899 0:00:00;0;;;0;;0;
438;0;5;101;a;10;09/06/2020 11:16:00;25229;;101;Ferretería Real;1;CONTADO;2;30 DIAS;1000;145;855;179,55;1079,01;B33555214;1348;09/06/2020 0:00:00;0;;;0;;0;
454;2;2;1;A;9;03/07/2020 14:09:00;50;;25211;GerMater;3;DOMICILIACION LA CAIXA;2;30 DIAS;362,5;0;362,5;76,13;438,63;B33666547;;01/01/1899 0:00:00;0;;;0;;0;
455;3;4;1;A;11;03/07/2020 14:19:00;50;;25211;GerMater;3;DOMICILIACION LA CAIXA;2;30 DIAS;362,5;0;362,5;76,13;438,63;B33666547;pedidoaa;03/07/2020 0:00:00;0;;;0;;0;
