PKEY;SUCURSAL;CIF;DENCOM;DENFIS;DIRECCION;POBLACION;PROVINCIA;CP;PAIS;TFNO1;MOVIL;EMAIL;REFERENCIA;ENCARGADO;AGENTE;GRUPO;ACTIVIDAD;ZONA;RUTA;FPAGO;PERIODICIDAD;DIA1;DIA2;DIA3;DIA4;IBAN;BIC_SWIFT;CCONTABLE;EMAILFACTURACION;AGENTE_TECNICO_EXTERNO
25217;1;B33410001;TelecomPrincipado;TELECOMPRINCIPADO, S.L.;Parque Empresarial de Oviedo, Parcela 33;Llanera;Asturias;33115;1;900200130;;atencionalcliente@telecomprincipado.es;;;50;0;0;0;0;3;1;0;0;0;0;;;41000016;;50
25218;1;09656021T;Martin Gomez [alquiler];MARTIN GOMEZ ALVAREZ;Castropol, 143 - 3ºA;Oviedo;Asturias;33104;1;985361240;654213021;martingomez@gmail.com;;;50;0;0;0;0;3;1;0;0;0;0;;;41000015;;50
25219;1;A03221325;SerAgua;SUMINISTRADORA DE SERVICIOS DE AGUA, S.A.;Pol Riaño 35;Gijón;Asturias;33210;1;900200100;;;;;50;0;0;0;0;3;1;0;0;0;0;;;41000010;;50
25220;1;A28636352;EL PARKING;EL PARKING, S.A.;Diagonal, 35 - Bajo;Barcelona;Barcelona;28006;1;900215215;;;;;50;0;0;0;0;3;1;0;0;0;0;;;41000017;;50
25223;1;05642630V;Maria Roblades;MARIA ROBLADES GOMEZ;El Postigo, 132, 2ºA;Oviedo;Asturias;33101;1;985662233;;mrobleda@saaddemo.com;;;50;0;0;0;0;0;0;0;0;0;0;;;43001107;;50
25224;1;B33968574;Talleres el Real;TALLERES EL REAL, S.L.;Pol. Espiritu Santo, Nave 34;Colloto;Asturias;33140;1;985747879;;admon@tallereselreal.es;;Marcos;50;0;0;0;0;4;2;0;0;0;0;ES2230173322114455669988;;;;50
25225;1;A28235658;REPSOL;REPSOL, S.A.;Castella 150;Madrid;Madrid;28040;1;900111222;;atencionacliente@repsol.es;;;50;0;0;0;0;2;1;0;0;0;0;;;41000019;;50
25228;1;99888777F;Anton;ANTON LABORDA LUIS;Uria, 34 - 7ºA;Oviedo;Asturias;33001;1;989989989;;marketing2@saaddemo.com;;;50;0;0;1;0;0;0;0;0;0;0;;;41000020;;50
25240;1;45600124W;David Alvarez;DAVID ALVAREZ MEJORA TUS RESULTADOS;Principal, 34 - 4ºB;LEIOA;VIZCAYA;48940;1;666550210;;davidmejora@saaddemo.com;;;50;0;0;0;0;0;0;0;0;0;0;;;;;50
25241;1;B12345678;MANUEL GONZALEZ;MANUEL GONZALEZ SANZ;GRAN VIA, 1;BILBAO;BIZKAIA;48001;1;;;tortex_@hotmail.com;;;25265;13;0;0;0;3;2;0;0;0;0;ES2421002332100200057008;;43001105;tortex_@hotmail.com,javitortex@gmail.com;25240
25243;1;;HACIENDA;HACIENDA;;;;;1;;;;;;54;0;0;0;0;0;0;0;0;0;0;;;47000001;;54
25244;1;;SEGURIDAD SOCIAL;SEGURIDAD SOCIAL;;;;;1;;;;;;54;0;0;0;0;3;2;0;0;0;0;;;47600000;;54
25246;1;;acreedor;ACREEDOR;;;;;1;;;;;;54;0;0;0;0;0;0;0;0;0;0;;;41000025;;54
25253;1;;REMUNERACIONES DE TRABAJADORES (NOMINA);REMUNERACIONES DE TRABAJADORES (NOMINA);;;;;1;;;;;;25240;0;0;0;0;4;1;0;0;0;0;;;46500000;;25240
25254;1;;HACIENDA PÚBLICA RETENCIÓN DE TRABAJADORES;HACIENDA PÚBLICA RETENCIÓN DE TRABAJADORES;;;;;1;;;;;;25240;0;0;0;0;3;5;0;0;0;0;;;47510001;;25240
25255;1;A20597464;SALDAÑA;EDICIONES SALDAÑA,S.A;P0L.LINTZIRIN-GAINA, PARCELA B-3;OYARZUN;GUIPUZCOA;20180;1;943493208;;;;;54;0;0;0;0;3;6;0;0;0;0;ES6210101010101010101010;;40000168;;54
25257;1;78945612K;jaimito;JAIMITO;Calle Ezcurdia 47, 3ºF;Bilbao;Vizcaya;48007;1;666777888;;;;;54;0;0;0;0;4;1;0;0;0;0;;;40000170;;54
25261;1;87654321X;Cristian Sánchez;CRISTIAN SÁNCHEZ;Plaza Julio Alberto Blanco. Poligono de Asipo III, PORTAL 1, BAJO;Cayés;Asturias;33428;4;985980890;;sat@ecosoft.es;;;0;17;0;2;0;1;2;0;0;0;0;ES6210101010101010101010;;43001114;crism425@gmail.com;0
25263;2;71717171C;PEPITO;JOSE RODRIGUEZ;Avda Argentina 25;Gijón;Asturias;33213;1;666555998;;;;;54;0;0;0;0;3;1;0;0;0;0;;;43001123;;54
200455;1;;REMUNERACIONES PENDIENTES DE TRABAJADORES (NOMINA);REMUNERACIONES PENDIENTES DE TRABAJADORES (NOMINA);;;;;1;;;;;;25240;0;0;0;0;5;1;0;0;0;0;;;46500000;;58
200456;1;;HACIENDA PUBLICA RETENCION DE TRABAJADORES;HACIENDA PUBLICA RETENCION DE TRABAJADORES;;;;;1;;;;;;25240;0;0;0;0;5;5;0;0;0;0;ES2420850180300330415867;;47510001;;58
200457;1;;SEGURIDAD SOCIAL ;SEGURIDAD SOCIAL ;;;;;1;;;;;;25240;0;0;0;0;5;2;0;0;0;0;;;47600000;;58
200458;1;;AMAZON EU SARL;AMAZON EU SARL;VIA DE LAS DOS CASTILLAS, 33 ATICO ED.2;28224;MADRID;28224;1;;;;;;115;0;0;0;0;0;0;0;0;0;0;;;40000756;;115
200459;1;888555;ENTIDAD EXTERNA - ALEMANIA;ENTIDAD EXTERNA;Dirección de mi cliente;Llanera;BERLIN;;4;;;;;;59;0;0;0;0;0;0;0;0;0;0;;;40000459;;59
200460;1;78523695Q;ENTIDAD FRANCIA;ENTIDAD FRANCIA;;;PARIS;;79;;;;;;59;0;0;0;0;0;0;0;0;0;0;;;43010000;;59
200477;1;;prueba alquiler;PRUEBA ALQUILER;;;;;1;;;;;;59;0;0;0;0;0;0;0;0;0;0;;;40000463;;59
200486;1;;REAG;REAG; ;;;;1;;;;;;59;0;0;3;0;0;0;0;0;0;0;;;43010000;crism425@gmail.com;59
200488;1;;AYUNTAMIENTO;AYUNTAMIENTO;PLAZA MAYOR;MADRID;MADRID;;1;;;mariacuesta.r@gmail.com;;;59;0;0;3;0;0;0;0;0;0;0;;;43010000;crism425@gmail.com;59
200494;1;;ADUANAS;ADUANAS;;;;;4;;;;;;54;0;0;0;0;0;0;0;0;0;0;;;43010000;;54
43013557;2;;COMERCIAL ;COMERCIAL ;;;;;1;;;;;;54;0;0;0;0;0;0;0;0;0;0;;;;;54
43013558;1;B12345679;JUAN GÓMEZ;JUAN GÓMEZ;;;;;1;;;mariacuesta.r@gmail.com;;;25229;0;0;0;0;0;0;0;0;0;0;;;43010000;JUAN@CLIENTE.COM,mariacuesta.r@gmail.com;25229
43013559;1;;recargo equivalencia;RECARGO EQUIVALENCIA;;;;;1;;;;;;59;0;0;0;0;0;0;0;0;0;0;;;;;59
43013582;0;B85364495;Tiger Stores Spain, S.L.U.;TIGER STORES SPAIN, S.L.U.;;;;;1;;;;;;0;0;0;0;0;0;0;0;0;0;0;;;41003591;;0
43013641;0;A60195278;LIDL SUPERMERCADOS S.A.U.;LIDL SUPERMERCADOS S.A.U.;;;;;1;;;;;;0;0;0;0;0;0;0;0;0;0;0;;;41003596;;0
